item_code,item_name,category,uom,predicted_rate,source,last_po_price,last_po_date,erp_rate,live_metal_rate
CF-555-00009,"MS ISMC Top Channel for 60 KVA, Size: 800 (L)X 75(H) X 40(W) X 5(T) MM",CF-555-,KGS,62.0,metal benchmark (indicative),,,80,62.0
CF-555-00006,"MS ISMC Top Channel for 9 KVA, Size: 615 (L)X 75(H) X 40(W) X 5(T) MM",CF-555-,KGS,62.0,metal benchmark (indicative),,,80,62.0
CF-555-00012,"MS ISMC Top Core Fixture, DEPL-35-C-01",CF-555-,KGS,62.0,metal benchmark (indicative),,,80,62.0
CH-303-00031,Damisol 3042-300,CH-303-,KGS,489.55,recent PO (age-weighted),498.0,2026-08-10,445,270.0
CC-555-00365,"Core E & I Lamination 1 - Ph Type 15 CRNO Grade: M210-35A, 0.35MM, Max Core Loss <2.1 W/Kg@1.5 T, 50Hz, As Per Drawing No: 5013-02-00-02",CC-555-,KGS,270.0,metal benchmark (indicative),,,140,270.0
AL-222-00005,"AL Conductor, Aluminium Strip, As per IS:13730-Part-27, Class-A, Size: 10.5 X 3.5, PC 0.5 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00024,"AL Rectangular Conductor, Aluminium Strip 10.0 X 2.0 MM, Super Enameled 0.11mm",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00027,"AL Rectangular Conductor, Aluminium Strip 12.0 X 3.0 MM, Super Enameled 0.11MM",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00022,"AL Rectangular Conductor, Aluminium Strip 12.0 X 4.0 MM, Super Enameled 0.11mm",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00028,"AL Rectangular Conductor, Aluminium Strip 3.0 X 2.0 MM, Super Enameled 0.11MM, Grade-2, Class H",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00020,"AL Rectangular Conductor, Aluminium Strip 5.0 X 3.0 MM, Super Enameled  0.11mm",AL-222-,KGS,417.0,recent PO (age-weighted),417.0,2025-11-20,0,367.9
AL-222-00282,"AL Rectangular Conductor, Aluminium Strip Size : 7.5 x 4mm Super Enameled 0.08mm, Finished OD = 7.58 x 4.08 mm, Grade 2, Class H",AL-222-,KGS,436.02,costing formula (live metal),600.0,2026-06-22,,367.9
AL-222-00241,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size : 10 × 2.5, Super Enamelled 0.11 mm (Finished OD= 10.11 × 2.61)",AL-222-,KGS,436.02,costing formula (live metal),380.0,2025-09-06,,367.9
AL-222-00221,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 10 × 4.5, FG Covering 0.3 mm (Finished OD= 10.3 × 4.8)",AL-222-,KGS,436.02,costing formula (live metal),354.0,25/04/2025,,367.9
AL-222-00210,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 10.5 × 4, FG Covering 0.5 mm (Finished OD= 11 × 4.5)",AL-222-,KGS,436.02,costing formula (live metal),545.45,2026-06-27,0,367.9
AL-222-00238,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 10.5×3.5, Super Enamelled 0.11 mm (Finished OD= 10.61×3.61)",AL-222-,KGS,436.02,costing formula (live metal),410.0,2025-09-29,,367.9
AL-222-00249,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 11 × 3.55, Super Enamelled 0.12 mm (Finished OD= 11.12 × 3.67)",AL-222-,KGS,440.0,recent PO (age-weighted),440.0,2026-01-07,,367.9
AL-222-00223,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 11.4 × 2.7 FG Covering 0.3 mm (Finished OD= 11.7 × 3)",AL-222-,KGS,436.02,costing formula (live metal),354.0,25/04/2025,,367.9
AL-222-00125,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 11.4 × 3.55, Super Enamelled 0.11 mm (Finished OD= 11.51 × 3.66)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00133,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 12 × 3.5, Super Enamelled 0.11 mm (Finished OD= 12.11× 3.61)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00222,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 13.8 × 3.35, FG Covering 0.3 mm (Finished OD= 14.1 × 3.65)",AL-222-,KGS,436.02,costing formula (live metal),354.0,25/04/2025,,367.9
AL-222-00100,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 3.6×2, Super Enamelled 0.11 mm (Finished OD= 3.71 x 2.11)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00099,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 3x2, Super Enamelled 0.1 mm, (Finished OD:3.10×2.10)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00103,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 4.2×2.5, Super Enamelled 0.12 mm (Finished OD= 4.32×2.62)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00104,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 4×2, Super Enamelled 0.11 mm (Finished OD= 4.11×2.11)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00083,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 5.8 x2.12, Super Enamelled 0.12 mm (Finished OD= 5.92 x 2.24)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00105,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 7.5×2.5, Super Enamelled 0.11 mm (Finished OD=7.61×2.61)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00082,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 8.5 x2.7, Super Enamelled 0.11 mm (Finished OD= 8.61 x 2.81)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
