item_code,item_name,category,uom,predicted_rate,source,last_po_price,last_po_date,erp_rate,live_metal_rate
CC-555-00178," Core Lamination 1 Strips, Size: 465(L) x 65(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00183," Core Lamination 1 Strips, Size: 500(L) x 50(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00176," Core Lamination 1 Strips, Size: 505(L) x 75(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz, As per Drawing No: 2020-03-B01-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00153," Core Lamination 2 Strips, Size: 190(L) x 45(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00181," Core Lamination 2 Strips, Size: 250(L) x 45(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00184," Core Lamination 2 Strips, Size: 255(L) x 45(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00179," Core Lamination 2 Strips, Size: 270(L) x 45(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00182," Core Lamination 2 Strips, Size: 270(L) x 50(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00175," Core Lamination 2 Strips, Size: 500(L) x 75(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz, As per Drawing No: 2020-03-B02-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00177," Core Lamination 2 Strips, Size: 510(L) x 65(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00387,"Assembled Core Lamination, Hole: Ø14MM, Grade : M4-0.27MM, CRGO-Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,,175.0
CC-555-00310,"Bottom Yoke Core Lamination Strips, Size: 112.5(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : <1.1 W/Kg @ 1.7T, 50Hz, As per drawing 2020-49-B03-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00418,"Bottom Yoke Core Lamination Strips, Size: 525(L) X 75(W), Grade: CRGO,M3, 0.23 thk MM, Max Core Loss 0.68 W/Kg@1.5 T, 50Hz, As per drawing No: 5018-R01-02",CC-555-,KGS,240.39,recent PO (age-weighted),225.0,2026-06-15,,175.0
CC-555-00065,"CRGO Cut Lamination, (RC4007), Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00071,"CRGO Lamination  Strips, Size: 260(L) X 50(W), Hole: SH 1PLX Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00099,"CRGO Lamination (250 KVA), 0.23(thk) mm, Grade: MOH 0.23 at 1.58Tesla, 50Hz as per drawing no:3007-00-00-10 ",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00087,"CRGO Lamination (250 KVA), 0.23(thk) mm, Grade:23 ZDMH 80, at 1.58Tesla, 50Hz as per drawing no:3007-00-00-10 ",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00020,"CRGO Lamination Strips (RC2002), Grade: M4, 0.27 MM Thick, Core Loss: Max 0.83 W/Kg, 1.5T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00022,"CRGO Lamination Strips (RC2009), Grade: M4, 0.27 MM Thick, Core Loss: Max 0.83 W/Kg, 1.5T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00141,"CRGO Lamination Strips (RC2019-01), Grade: M4, 0.27 MM Thick, Core Loss: Max 1.01 W/Kg, 1.6T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00140,"CRGO Lamination Strips (RC2019-02), Grade: M4, 0.27 MM Thick, Core Loss: Max 1.01 W/Kg, 1.6T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00023,"CRGO Lamination Strips (RC5005), Grade: M4, 0.27 MM Thick, Core Loss: Max 0.83 W/Kg, 1.5T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00019,"CRGO Lamination Strips, 1.25KVA, Grade: M4, 0.27 MM Thick, Core Loss: Max 0.83 W/Kg, 1.5T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00021,"CRGO Lamination Strips, Size: 105X50 & 160X50 & 235X50 MM, Stack: 155MM, Grade: M4, 0.27 MM Thick, Core Loss: Max 0.83 W/Kg, 1.5T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00104,"CRGO Lamination Strips, Size: 113 (L) X 50 (W) Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00041,"CRGO Lamination Strips, Size: 120(L) X 50(W), Hole: 1PLX Ø9MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00024,"CRGO Lamination Strips, Size: 130X50 & 210X50 & 185X50MM, Stack: 124MM, Grade: M4, 0.27 MM Thick, Core Loss: Max 0.83 W/Kg, 1.5T @ 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00073,"CRGO Lamination Strips, Size: 140(L) X 50(W), Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00102,"CRGO Lamination Strips, Size: 168 (L) X 50 (W), Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00042,"CRGO Lamination Strips, Size: 215(L) X 50(W), Hole: 1PLX Ø9MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00072,"CRGO Lamination Strips, Size: 250(L) X 50(W),  Hole:  3PLX Ø9 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00070,"CRGO Lamination Strips, Size: 250(L) X 50(W), SH,1PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00103,"CRGO Lamination Strips, Size: 370 (L) X 100 (W), Hole: Ø11 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00100,"CRGO Lamination Strips, Size: 370 (L) X 50 (W), Hole: Ø11 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00101,"CRGO Lamination Strips, Size: 68 (L) X 50 (W) Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00106,"CRGO Lamination Strips, Type 16 CRGO 0.35 mm ",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00306,CRGO Lamination strips Type 16  CRGO 0.30 mm,CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00054,"CRGO Lamination-1 Strips, Size: 115(L) X 50(W), SH  1PLX,  Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00097,"CRGO Lamination-1 Strips, Size: 170 (L) X 40 (W), Hole: Ø9 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00064,"CRGO Lamination-1 Strips, Size: 180(L) X 80(W), SH,1PLX, Hole: Ø9MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00094,"CRGO Lamination-1 Strips, Size: 190 (L) X 75 (W), Hole: Ø14 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00067,"CRGO Lamination-1 Strips, Size: 190(L) X 80(W), SH,1PLX, Hole: Ø12MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00047,"CRGO Lamination-1 Strips, Size: 216(L) X 50(W), MH 1PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00043,"CRGO Lamination-1 Strips, Size: 260(L) X 50(W), Hole: 3PLX Ø9MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00090,"CRGO Lamination-1 Strips, Size: 440(L) X 60(W), Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00059,"CRGO Lamination-1 Strips, Size: 520(L) X 120(W), SH,1PLX, Hole: Ø14MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00098,"CRGO Lamination-2 Strips, Size: 103 (L) X 40 (W), Hole: Ø9 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00063,"CRGO Lamination-2 Strips, Size: 130(L) X 80(W), SH,1PLX, Hole: Ø9MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00056,"CRGO Lamination-2 Strips, Size: 255(L) X 50(W), SH, 1PLX  Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00057,"CRGO Lamination-2 Strips, Size: 280(L) X 50(W), SH, 1PLX  Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00068,"CRGO Lamination-2 Strips, Size: 285(L) X 80(W), SH,1PLX, Hole: Ø12MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00048,"CRGO Lamination-2 Strips, Size: 290(L) X 100(W), SH 1PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00058,"CRGO Lamination-2 Strips, Size: 290(L) X 50(W), SH,1PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00060,"CRGO Lamination-2 Strips, Size: 295(L) X 120(W), SH,1PLX, Hole: Ø14MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00095,"CRGO Lamination-2 Strips, Size: 420 (L) X 75 (W), Hole: Ø14 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00091,"CRGO Lamination-2 Strips, Size: 440(L) X 120(W), Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00044,"CRGO Lamination-2 Strips, Size: 50(L) X 36.5(W),Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz, ",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00055,"CRGO Lamination-3 Strips, Size: 180(L) X 50(W), MH  1PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00045,"CRGO Lamination-3 Strips, Size: 260(L) X 100(W), Hole: 3PL X Ø9MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00049,"CRGO Lamination-3 Strips, Size: 290(L) X 50(W), 2PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00069,"CRGO Lamination-3 Strips, Size: 300(L) X 80(W), MH,1PLX, Hole: Ø12MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00096,"CRGO Lamination-3 Strips, Size: 305 (L) X 75 (W), Hole: Ø14 MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00092,"CRGO Lamination-3 Strips, Size: 56.5(L) X 60(W), Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00050,"CRGO Lamination-4 Strips, Size: 108(L) X 50(W), SH 1PLX, Hole: Ø11MM, Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00093,"CRGO Lamination-4 Strips, Size: 123(L) X 60(W), Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00046,"CRGO Lamination-4 Strips, Size: 50(L) X 65(W),Grade: M4-0.27MM, Max Core Loss 0.83 W/Kg@1.5 T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00311,"Centre Limb Core Lamination Strips, Size: 460(L) x 110(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : <1.1 W/Kg @ 1.7T, 50Hz, As per drawing 2020-49-B04-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00409,"Core E & I Lamination 1-Ph Type-120, CRGO Grade: M4-0.27, Core Loss : 0.89W/Kg@1.5T, 50Hz, As per drawing No: 2032-00-02",CC-555-,KGS,384.76,recent PO (age-weighted),375.0,2026-07-10,,175.0
CC-555-00395,"Core E & I Lamination 3 - Ph Type 100, CRNO Grade: M250-35A, 0.35MM, Max Core Loss 2.1 W/Kg@1.5 T, 50Hz",CC-555-,KGS,171.0,recent PO (age-weighted),171.0,2025-09-27,,175.0
CC-555-00389,"Core E & I Lamination, 1 - Phase, Type 16 , CRNO Grade: M250-35A, 0.35MM, Max Core Loss <2.1 W/Kg@1.5 T, 50Hz, As Per Drawing No: 2012-13-00-02",CC-555-,KGS,170.0,recent PO (age-weighted),170.0,2025-09-24,,175.0
CC-555-00471,"Core E & I Lamination, 1 - Phase, Type 43, CRNO Grade : M250-35A, 0.35(T)mm, Max Core Loss <2.7W/Kg@1.5T, 50Hz, As Per Drawing No : 2036-02-00-02",CC-555-,KGS,135.0,recent PO (age-weighted),135.0,2026-07-21,,175.0
CC-555-00448,"Core E & I Lamination, 1 - Phase, Type 8 , CRNO Grade : M360, 0.5(T)mm, Max Core Loss <3.6W/Kg@1.5 T, 50Hz",CC-555-,KGS,123.54,recent PO (age-weighted),135.0,2026-08-03,,175.0
CC-555-00388,"Core E & I Lamination, 3 - Phase, Type 8B , CRNO Grade: M210-35A, 0.35MM, Max Core Loss <2.1 W/Kg@1.5 T, 50Hz, As Per Drawing No: 2012-12-00-02",CC-555-,KGS,170.0,recent PO (age-weighted),170.0,2026-02-20,,175.0
CC-555-00132,"Core E Lamination TY3, 1PH CRGO Grade: M6-0.35MM, Max Core Loss 1.02 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00249,"Core E Lamination Type-16, 1Ph CRNGO Grade: 50H230/H6, Losses <2.3W/Kg @1.5 T, 50Hz, As per drawing No: 5011-08-B01-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00253,"Core E Lamination Type-180, 1Ph CRNGO Grade: 50H230/H6, Losses <2.3W/Kg @1.5 T, 50Hz, As per drawing No: 5011-05-B01-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00247,"Core E Lamination Type-6, 1Ph CRNGO Grade: M210-0.35MM, Losses : <2.1W/Kg @1.5 T, 50Hz, As per drawing No:2023-06-B01-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00217,"Core E&I Lamination Strips 1PH TY120  CRGO Grade: M4, Max Core Loss 0.85 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00079,"Core E&I Lamination Strips 1PH TY15 (RC2017-01) CRGO Grade: M4, Max Core Loss 0.85 W/Kg@1.5 T, 50Hz as per drag.No:2017-01-00-02",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00080,"Core E&I Lamination Strips 1PH TY33 (RC2017-02) CRGO Grade:M4,  Max Core Loss 0.85W/Kg@1.5 T, 50Hz as per drawing No:2017-02-00-02",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00370,"Core E&I Lamination Strips : 1-Phase, Type-43, CRNO Grade: M360, 0.5 (T) MM, Max Core Loss 3.6 W/Kg@1.5 T, 50Hz, As Per Drawing No 2021-03-00-02",CC-555-,KGS,125.0,recent PO (age-weighted),125.0,2025-11-19,0,175.0
CC-555-00375,"Core E&I Lamination Strips : 1-Phase, Type-6, CRNO Grade: M360, 0.5 (T) MM, Max Core Loss 3.6 W/Kg@1.5 T, 50Hz, As Per Drawing No 2021-13-00-02",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00307,"Core E&I Lamination Strips, 1-Phase Type-120, CRNO, Grade: M210-35A, 0.35(T)mm, Max Core Loss : <2.1W/Kg@1.5 T, 50Hz, As per drawing No : 2023-06-00-02",CC-555-,KGS,130.55,recent PO (age-weighted),132.0,2026-06-11,0,175.0
CC-555-00133,"Core I Lamination TY3, 1PH CRGO Grade: M6-0.35MM, Max Core Loss 1.02 W/Kg@1.5 T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00250,"Core I Lamination Type-16,1Ph CRNGO Grade: 50H230/H6, Losses <2.3W/Kg @1.5 T, 50Hz, As per drawing No: 5011-08-B02-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00254,"Core I Lamination Type-180, 1Ph CRNGO Grade: 50H230/H6, Losses <2.3W/Kg @1.5 T, 50Hz, As per drawing No: 5011-05-B02-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00252,"Core I Lamination Type-43, 1Ph CRNGO Grade: 50H230/H6, Losses <2.3W/Kg @1.5 T, 50Hz, As per drawing No: 5011-07-B02-01 &  5011-06-B02-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00248,"Core I Lamination Type-6, 1Ph CRNGO Grade: M210-0.35MM, Losses : <2.1W/Kg @1.5 T, 50Hz, As per drawing No:2023-06-B01-02",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00294,"Core Lamination - 1 Strips, Size: 112.5(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-48-B04-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00302,"Core Lamination - 1 Strips, Size: 460(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-50-B04-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00298,"Core Lamination - 1 Strips, Size: 475(L) x 70(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-51-B04-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00303,"Core Lamination - 2 Strips, Size: 112.5(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-50-B05-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00299,"Core Lamination - 2 Strips, Size: 155(L) x 70(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-51-B05-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00295,"Core Lamination - 2 Strips, Size: 410(L) x 110(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-48-B05-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00304,"Core Lamination - 3 Strips, Size: 225(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-50-B06-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00300,"Core Lamination - 3 Strips, Size: 310(L) x 70(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-51-B06-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00296,"Core Lamination - 3 Strips, Size: 410(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-48-B06-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00297,"Core Lamination - 4 Strips, Size: 225(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-48-B07-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00305,"Core Lamination - 4 Strips, Size: 460(L) x 110(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-50-B07-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00301,"Core Lamination - 4 Strips, Size: 475(L) x 140(W),  Grade: CRGO M4 0.27mm Thick, Core Losses : 0.9 W/Kg @ 1.7T, 50Hz, As per drawing 2020-51-B07-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00390,"Core Lamination 1 Strips, Size: 205(L) x 70(W), Grade: CRNO 0.35(T) mm, Max Core Loss 1.5 W/Kg@1.5 T, 50Hz, As per Drawing No: 2022-05-B01-01",CC-555-,KGS,175.0,metal benchmark (indicative),,,,175.0
CC-555-00202,"Core Lamination 1 Strips, Size: 360(L) x 50(W), Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz@ 1.5T",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00196,"Core Lamination 1 Strips, Size: 370(L) x 40(W), Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz.",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00206,"Core Lamination 1 Strips, Size: 385(L) x 45(W), Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz@ 1.5T",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00210,"Core Lamination 1 Strips, Size: 410(L) x 50(W), Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz@ 1.5T",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00221,"Core Lamination 1 Strips, Size: 415(L) x 45(W),  Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz, As per drawing",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00194,"Core Lamination 1 Strips, Size: 425(L) x 60(W), Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz@ 1.5T",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00187,"Core Lamination 1 Strips, Size: 430(L) x 50(W), Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00214,"Core Lamination 1 Strips, Size: 435(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz, As per drawing",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00189,"Core Lamination 1 Strips, Size: 445(L) x 55(W),  Grade: CRGO M4 0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
